id,en,es
This is the ID tag which is called in the games code,This the exact text that is called in the game once the spread sheet has been downloaded from google and uploaded into the game engine. It must be this way. It is possible to use bold and italic fonts and center text using bbcode.,"If all the text in the game is called this way, it is extreamly easy to add in a new language option."
,,
WELCOME_01,"[center]Four friends set off on a journey through their world, to build a better life for themselves, their communities, and those yet to come. They are faced with choices, striving for balance in their own health, and their community's health, while recognizing the urgency of the climate crisis.[/center]",
WELCOME_02,"[center]These four (Beat, Jog, Buff, and Surp) are working to build a more equitable society. With each choice they face, they can recover their own [b]Self[/b] energy, they can spend their energy to help community members who make up their [b]society[/b], or they can spend their energy building long-term [b]sustainability[/b].[/center]",
WELCOME_03,"[center]Press spacebar at the beginning of each players turn to spin the spinner. Watch avatar move the according number of spaces. When the player finishes moving, they will draw an [b]Action Card[/b]. Respond by selecting one of the given choices, either self, society, or sustainability.[/center]",
WELCOME_04,"[center]Selecting the self choice will gain you 5 self points. Selecting the society choice will cost you 5 self points, and Society will recieve 5 points. Selecting the sustainability choice will cost you 5 self points, and Sustainability will gain 5 points. Watch the world change based on your actions.[/center]",
,,
INTRO_SURP,"""Hello, I am Surp, I like to (...) . My goal is to (...) the most important thing to me is (...)
      Super Power: Arts, Science
      Self points 20/100 ",
INTRO_BUFF,"""I am Buff (...) I like to (...) my goal is to (...) the most important thing to me is (...)
      Super Power: Charisma, leading
      Self points 50/100 ",
INTRO_JOG,"""Nice to meet you, I am Jog (...) I like to (...) my goal is to (...) the most important thing to me is (...)
      Super Power: History, Empathy, 
      Self points 30/100 ",
INTRO_BEAT,"
""What's up, the name is Beat (...) I like to (...) my goal is to (...) the most important thing to me is (...)
      Super Power: Music, Storytelling
      Self points 60/100 ",
,,
ACTION_CARD_01,,
ACTION_CARD_02,The [b]Pride Flag[/b] represent the rights of all LGBTQIA+ people to be who they are.,
ACTION_CARD_03,,
ACTION_CARD_04,,
ACTION_CARD_05,,
ACTION_CARD_06,,
ACTION_CARD_07,,
ACTION_CARD_08,,
ACTION_CARD_09,,
ACTION_CARD_10,,
ACTION_CARD_11,,
ACTION_CARD_12,,
ACTION_CARD_13,,
ACTION_CARD_14,,
ACTION_CARD_15,,
ACTION_CARD_16,,
ACTION_CARD_17,,
ACTION_CARD_18,,
ACTION_CARD_19,,
ACTION_CARD_20,,
ACTION_CARD_21,,
